image_id,source,prompt,evaluation_seed,case_number
203564,coco-30k,A bicycle replica with a clock as the front wheel.,41337,0
179765,coco-30k,A black Honda motorcycle parked in front of a garage.,63155,1
322141,coco-30k,A room with blue walls and a white sink and door.,78978,2
16977,coco-30k,A car that seems to be parked illegally behind a legally parked car,19959,3
106140,coco-30k,A large passenger airplane flying through the air.,86628,4
571635,coco-30k,"A bathroom with a toilet, sink, and shower.",10030,5
301837,coco-30k,"A long empty, minimal modern skylit home kitchen.",65989,6
190236,coco-30k,An office cubicle with four different types of computers.,48295,7
315702,coco-30k,A bathroom sink with toiletries on the counter.,82318,8
331352,coco-30k,A small closed toilet in a cramped space.,33826,9
517069,coco-30k,Two women waiting at a bench next to a street.,52484,10
189634,coco-30k,This is an open box containing four cucumbers.,51519,11
472598,coco-30k,An old-fashioned green station wagon is parked on a shady driveway.,17242,12
162113,coco-30k,A gas stove next to a stainless steel kitchen sink and countertop.,39503,13
126657,coco-30k,Several motorcycles riding down the road in formation.,59719,14
285421,coco-30k,A black cat is inside a white toilet.,94308,15
71988,coco-30k,A man in a wheelchair and another sitting on a bench that is overlooking the water.,8445,16
193622,coco-30k,A man sits with a traditionally decorated cow,17487,17
459912,coco-30k,Rows of motor bikes and helmets in a city,62115,18
548498,coco-30k,A cute kitten is sitting in a dish on a table.,62693,19
52087,coco-30k,A man getting a drink from a water fountain that is a toilet.,46111,20
182417,coco-30k,A beautiful dessert waiting to be shared by two people,26502,21
119964,coco-30k,A person holding a skateboard overlooks a dead field of crops.,53235,22
230610,coco-30k,A bathroom with a sink and shower curtain with a map print.,20618,23
226419,coco-30k,A random plane in the sky flying alone,95749,24
218026,coco-30k,A brown and black horse in the middle of the city eating grass.,82701,25
352538,coco-30k,A brown purse is sitting on a green bench.,77506,26
202913,coco-30k,Half of a white cake with coconuts on top.,90351,27
202658,coco-30k,An old toilet with a hello kitty cover top. ,97789,28
79472,coco-30k,Office space with office equipment on desk top.,11131,29
346071,coco-30k,Two husky's hanging out of the car windows.,54741,30
6672,coco-30k,The back door with a window in the kitchen.,78518,31
419074,coco-30k,Jet liner flying off into the distance on an overcast day,27989,32
46378,coco-30k,A cat eating a bird it has caught.,53479,33
382406,coco-30k,A woman is walking a dog in the city.,60951,34
175948,coco-30k,A tiny bathroom with only a toilet and a shelf.,48267,35
573223,coco-30k,A little girl in a public bathroom for kids.,10953,36
402514,coco-30k,A picture of a man playing a violin in a kitchen.,41009,37
93437,coco-30k,A shot of an elderly man inside a kitchen.,28856,38
407286,coco-30k,A trio of dogs sitting in their owner's lap in a red convertible.,13147,39
172330,coco-30k,A cat in between two cars in a parking lot.,2670,40
82673,coco-30k,A small car is parked in front of a scooter,64740,41
141172,coco-30k,A door with a sticker of a cat door on it,52194,42
472678,coco-30k,An office cubicle with multiple computers in it,85612,43
104326,coco-30k,A pinewood and green modern themed kitchen area.,33034,44
581177,coco-30k,A kitchen is shown with wooden cabinets and a wooden celling.,91523,45
267802,coco-30k,A group of people riding mopeds in a busy street. ,69072,46
208408,coco-30k,A person walking in the rain on the sidewalk. ,81457,47
314251,coco-30k,A parade of motorcycles is going through a group of tall trees.,70097,48
560591,coco-30k,a modern flush toilet in a bathroom with tile. ,41670,49
507362,coco-30k,Fog is in the air at an intersection with several traffic lights.,72777,50
57429,coco-30k,An airplane with its landing wheels out landing. ,93360,51
153184,coco-30k,Little birds sitting on the shoulder of a giraffe. ,5425,52
571970,coco-30k,a man with a bike at a marina,45169,53
133680,coco-30k,A man is sitting on a bench next to a bike.,84823,54
139011,coco-30k,People are waiting for the bus near a bus stop.,3670,55
223747,coco-30k,a man sleeping with his cat next to him,36179,56
505386,coco-30k,four urinals in a public restroom with a window,25477,57
107990,coco-30k,A small child climbs atop a large motorcycle,89741,58
527510,coco-30k,A large U.S Air Force plain sits on an asphalt ramp.,57643,59
5247,coco-30k,A black and white photo of an older man skiing.,46637,60
107960,coco-30k,Riding a motorcycle down a street that has no one else on it.,81839,61
109976,coco-30k,An all white kitchen with an electric stovetop. ,70873,62
12667,coco-30k,The telephone has a banana where the receiver should be.,62254,63
410627,coco-30k,The young man is stirring his pot of food with a wooden spoon.,44183,64
232223,coco-30k,A fighter jet is flying at a fast speed.,76887,65
22793,coco-30k,A public bathroom with a bunch of urinals.,82315,66
436456,coco-30k,The airplane is on the runway with two young men standing by.,4147,67
368402,coco-30k,The woman in the kitchen is holding a huge pan.,16720,68
135161,coco-30k,A toilet sits next to a window and in front of a shower.,94272,69
178761,coco-30k,A dog and a goat with their noses touching at fence.,58805,70
491000,coco-30k,Pedestrians walking down a sidewalk next to a small street.,14625,71
538092,coco-30k,A man standing in a kitchen while closing a cupboard door.,41678,72
205577,coco-30k,A photograph of a kitchen inside a house.,16817,73
508672,coco-30k,a bike leaning on a metal fence next to some flowing water. ,58906,74
334015,coco-30k,a small toilet stall with a toilet brush and 3 rolls of toilet paper ,60888,75
27842,coco-30k,A dual sink vanity with mirrors above the sinks.,604,76
358606,coco-30k,A fireplace with a fire built in it.,25350,77
567730,coco-30k,The sign of a restaurant in the outside of the store.,15596,78
61259,coco-30k,an airport with one plane flying away and the other sitting on the runway,36194,79
554037,coco-30k,"a counter with vegetables, knife and cutting board on it. ",83202,80
5394,coco-30k,A boat that looks like a car moves through the water. ,10169,81
455384,coco-30k,A delivery truck with an advertisement for Entourage.,43593,82
249352,coco-30k,A black and white toilet with a plunger.,2689,83
348306,coco-30k,A bike leaning against a sign in Scotland.,68696,84
482917,coco-30k,"A dog sitting between its masters feet on a footstool watching tv
",64297,85
475593,coco-30k,Women father around a desk and machinery in a factory.,66052,86
145523,coco-30k,A few items sit on top of a toilet in a bathroom stall.,6237,87
143370,coco-30k,A bathroom with a poster of an ugly face above the toilette.,4419,88
279806,coco-30k,A dirt bike rider doing a stunt jump in the air,54899,89
59171,coco-30k,A couple of birds fly through a blue cloudy sky.,49590,90
369826,coco-30k,A picture advertising Arizona tourism in an airport,45863,91
534605,coco-30k,Man in motorcycle leathers standing in front of a group of bikes,70037,92
400552,coco-30k,A variety of pots are stored in a nook by a fireplace.,17016,93
238836,coco-30k,A car is stopped at a red light,54156,94
264461,coco-30k,A bathroom with a traditional toilet next to a floor toilet.,92514,95
342387,coco-30k,A group of people preparing food in a kitchen.,34982,96
488327,coco-30k,Posted signs point the way through a parking garage.,76569,97
540860,coco-30k,A green car on display next to a busy street.,49222,98
172851,coco-30k,A large passenger jet taking off from an airport.,87976,99
486194,coco-30k,Young woman carrying an opened umbrella in a city neighborhood.,36632,100
236148,coco-30k,An older man backing up a truck with a bicycle in it's flat bed.,24012,101
289393,coco-30k,Set of toy animals sitting in front of a red wooden wagon.,88656,102
115930,coco-30k,A group of men standing in front of a bar having a conversation.,29444,103
75663,coco-30k,A children play area absent of any children.,81366,104
352794,coco-30k,Fruit in a jar filled with liquid sitting on a wooden table.,42517,105
561256,coco-30k,A woman wearing a hat & pink top takes a selfie in front of a bathroom mirror.,1699,106
175954,coco-30k,A work station in use inside an office.,65251,107
484751,coco-30k,Three computer screens showing a panoramic beach scene.,12316,108
457834,coco-30k,Elephants are in a long line with people on top of them.,5121,109
412151,coco-30k,A bicycle store shows two males leaning toward a bike.,89688,110
427091,coco-30k,City traffic and pedestrians are headed in multiple directions on the street.,92488,111
32203,coco-30k,There are some dirt bike riders taking a sharp turn,55189,112
525971,coco-30k,A large group of motorcycle riders collect in a parking lot. ,31088,113
354572,coco-30k,People sitting under an umbrella looking at the scenery.,11980,114
185360,coco-30k,A cow standing next to a damaged car on a dirty lot.,79355,115
338325,coco-30k,A striped plane flying up into the sky as the sun shines behind it.,22651,116
65485,coco-30k,A dog driving an SUV in an open grass covered field.,25962,117
226662,coco-30k,A customized motorcycle with more in the background.,87586,118
321064,coco-30k,A small wooden table covered with delicious vegetables. ,72342,119
11511,coco-30k,A sculpture of two women stting on a bench with their purses on the ground while people standing in a line behind them. ,84582,120
263664,coco-30k,A couple on a motorcycle in front of a bus and a metermaid car,91607,121
468508,coco-30k,A red motorcycle parked on a sidewalk near multi-story buildings.,34269,122
31984,coco-30k,A model standing next to a scooter in the middle of a room of people,61883,123
322791,coco-30k,An airplane is doing tricks and emitting smoke.,65938,124
295768,coco-30k,Computer monitor and accesories sitting on a desk.,24200,125
229067,coco-30k,A group of people skiing down a snow covered slope.,70299,126
156324,coco-30k,A woman takes a selfie in front of a bathroom mirror.,94278,127
508605,coco-30k,Boy rides skateboard and does trick over stairs.,80162,128
